timestamp;RSSI_01;RSSI_02;RSSI_03;RSSI_04;RSSI_05;RSSI_06;RSSI_07;RSSI_08;RSSI_09;temp;hum;bar;rain
2025-02-03 08:00:00+00:00;-81.27272727272727;-88.0;-85.6;-85.1;-68.66666666666667;-65.58333333333333;-76.9;-81.72727272727273;-79.91666666666667;34.19166666666667;76.33333333333333;30.195833333333336;0.0
2025-02-03 09:00:00+00:00;-80.36363636363636;-85.27272727272727;-84.44444444444444;-83.8;-69.25;-66.0;-72.5;-82.66666666666667;-82.7;34.61666666666667;77.33333333333333;30.185833333333335;0.0
2025-02-03 10:00:00+00:00;-84.75;-86.88888888888889;-86.36363636363636;-78.08333333333333;-69.0;-66.16666666666667;-78.75;-84.4;-80.58333333333333;35.21666666666667;78.0;30.17833333333333;0.0
2025-02-03 11:00:00+00:00;-89.27272727272727;-90.7;-88.5;-83.22222222222223;-71.83333333333333;-69.36363636363636;-83.0;-85.91666666666667;-84.75;35.3;79.08333333333333;30.180833333333336;0.0
2025-02-03 12:00:00+00:00;-86.3;-94.23076923076923;-90.6;-83.54545454545455;-74.0;-70.91666666666667;-83.75;-88.66666666666667;-91.36363636363636;35.983333333333334;80.16666666666667;30.19666666666667;0.0
2025-02-03 13:00:00+00:00;-84.25;-95.81818181818181;-87.44444444444444;-86.63636363636364;-75.75;-73.81818181818181;-88.08333333333333;-89.5;-88.08333333333333;40.1;74.41666666666667;30.204166666666666;0.0
2025-02-03 14:00:00+00:00;-89.45454545454545;-98.63636363636364;-96.72727272727273;-94.45454545454545;-80.66666666666667;-78.5;-90.66666666666667;-94.33333333333333;-91.0909090909091;42.175000000000004;72.33333333333333;30.203333333333333;0.0
2025-02-03 15:00:00+00:00;-89.83333333333333;-102.625;-98.22222222222223;-92.25;-83.41666666666667;-80.5;-94.3;-101.0909090909091;-95.83333333333333;43.85;71.33333333333333;30.198333333333334;0.0
2025-02-03 16:00:00+00:00;-92.25;-100.07692307692308;-96.44444444444444;-96.63636363636364;-82.66666666666667;-80.81818181818181;-91.44444444444444;-101.85714285714286;-95.5;46.050000000000004;70.5;30.174166666666668;0.0
2025-02-03 17:00:00+00:00;-96.14285714285714;-102.46153846153847;-98.72727272727273;-101.54545454545455;-83.41666666666667;-83.4;-94.54545454545455;-98.16666666666667;-101.9090909090909;48.59166666666667;68.58333333333333;30.136666666666667;0.0
2025-02-03 18:00:00+00:00;-93.33333333333333;-102.77777777777777;-100.22222222222223;-102.27272727272727;-84.08333333333333;-83.33333333333333;-93.5;-98.27272727272727;-102.41666666666667;52.4;66.16666666666667;30.099166666666665;0.0
